date,ticker,open,high,low,close,volume
2025-05-12,AAPL,210.32995926202443,210.6290521628615,206.1227607044075,210.15049743652344,63775800
2025-05-13,AAPL,209.79158118866218,212.75257189298435,208.36592688565332,212.28399658203125,51909300
2025-05-14,AAPL,211.78550901932945,213.29093762104833,209.94113079478424,211.68582153320312,49325800
2025-05-15,AAPL,210.31001909194578,212.31393091132972,208.90429308394448,210.80850219726562,45029500
2025-05-16,AAPL,211.71573318604425,211.92510277199543,209.1335944967917,210.6190643310547,54737900
2025-05-19,AAPL,207.27923550566183,208.84446444770495,203.64029993754312,208.14659118652344,46140500
2025-05-20,AAPL,207.03996203611737,207.83753801206538,204.40797196423648,206.232421875,42496600
2025-05-21,AAPL,204.5475404614086,206.41186226922272,200.10108001028593,201.4768829345703,59211800
2025-05-22,AAPL,200.1010626250374,202.13486667390606,199.09411717835945,200.74908447265625,46742400
2025-05-23,AAPL,193.082445017036,197.1002176461426,192.8730906309023,194.67759704589844,78432900
2025-05-27,AAPL,197.6983910952664,200.1309909415137,196.83102019804124,199.60260009765625,56288500
2025-05-28,AAPL,199.98143310081724,202.11494001836002,199.2935240345892,199.81195068359375,45339700
2025-05-29,AAPL,202.9623758748587,203.19167383577107,197.90775006205254,199.3433837890625,51396800
2025-05-30,AAPL,198.7651407343476,201.3472946799051,196.18300200128658,200.24066162109375,70819900
2025-06-02,AAPL,199.67238359256916,201.51677709467234,199.51286535414474,201.08807373046875,35423300
2025-06-03,AAPL,200.73913195165156,203.1517881077627,200.35031577799097,202.65330505371094,46381600
2025-06-04,AAPL,202.29440469878628,205.6143037964219,201.48686455307688,202.20468139648438,43604000
2025-06-05,AAPL,202.88261988754903,204.12882762641604,199.54277706238673,200.02133178710938,55126100
2025-06-06,AAPL,202.3841235560851,205.07592905349443,201.4370087789868,203.30133056640625,46607700
2025-06-09,AAPL,203.76991971327615,205.37503589356555,199.4131823149893,200.83883666992188,72862600
2025-06-10,AAPL,199.9914028593682,203.73002568042446,199.96149509379936,202.05511474609375,54672600
2025-06-11,AAPL,202.88260699920767,203.8795731269679,197.80805305990708,198.1769256591797,60989900
2025-06-12,AAPL,198.47602627663701,199.07419684911244,196.7612432530472,198.5956573486328,43904600
2025-06-13,AAPL,199.12405177447246,199.76210952406473,195.1062792678608,195.85400390625,51447300
2025-06-16,AAPL,196.701426450214,198.08720880439395,195.96366601516638,197.81802368164062,43020700
2025-06-17,AAPL,196.6017124403596,197.78810453675544,194.61775963167673,195.04644775390625,38856200
2025-06-18,AAPL,195.34553910938874,196.97059871241268,194.4781834746436,195.9835968017578,45394700
2025-06-20,AAPL,197.63856158511533,201.08805571006383,196.26274352386682,200.3901824951172,96813500
2025-06-23,AAPL,201.01829760639046,201.68626312768808,198.35639970659372,200.88868713378906,55814300
2025-06-24,AAPL,201.97536755465325,202.8227948624406,199.59261907789957,199.69232177734375,54064000
2025-06-25,AAPL,200.83883469818846,203.05210084338043,200.01135094007643,200.94850158691406,39525700
2025-06-26,AAPL,200.81887060840756,202.0252062612044,198.85486142223453,200.3901824951172,50799100
2025-06-27,AAPL,201.2774955925489,202.60346239871808,199.39323017588663,200.46995544433594,73188600
2025-06-30,AAPL,201.39712965217615,206.7608124915243,198.6554726965608,204.54754638671875,91912800
2025-07-01,AAPL,206.04299395149746,209.55231908550664,205.51460310500556,207.18951416015625,78788900
2025-07-02,AAPL,208.2761972389462,212.69274987948137,207.5085290616707,211.7954864501953,67941800
2025-07-03,AAPL,211.5063683517463,213.9987837940836,211.16740350258758,212.90213012695312,34955800
2025-07-07,AAPL,212.03474730839852,215.57398008038285,208.16652910348648,209.3130340576172,50229000
2025-07-08,AAPL,209.46260228799343,210.78855393169587,207.8175989494771,209.37286376953125,42848900
2025-07-09,AAPL,208.8943192909964,210.6888614301138,206.59132988433592,210.4994354248047,48749400
2025-07-10,AAPL,209.87133445003573,212.83232507172787,209.39279496736208,211.7655792236328,44443600
2025-07-11,AAPL,209.93115706069412,211.48642172848318,209.22330444266433,210.5193634033203,39765800
2025-07-14,AAPL,209.29309904361602,210.27013683517245,206.91035052542594,207.98707580566406,38840100
2025-07-15,AAPL,208.5852680860029,211.2471659954246,208.2861751856472,208.47560119628906,42296300
2025-07-16,AAPL,209.66198981724762,211.7556096589697,208.0070223143888,209.5224151611328,47490500
2025-07-17,AAPL,209.93116216460888,211.15742622671814,208.95412441878605,209.38282775878906,48068100
2025-07-18,AAPL,210.23024956462245,211.1474566075158,209.06380098140497,210.539306640625,48974600
2025-07-21,AAPL,211.45652088357517,215.12534891613055,210.98794558852114,211.83535766601562,51377400
2025-07-22,AAPL,212.49337032996837,214.29787667610697,211.5861274580158,213.74954223632812,46404100
2025-07-23,AAPL,214.3477325289176,214.49727137359017,211.76559372759175,213.50030517578125,46989300
2025-07-24,AAPL,213.25104009789538,215.0356179140754,212.88216751340357,213.11146545410156,46022600
2025-07-25,AAPL,214.04862920984866,214.58699944946258,212.7525701732737,213.2311248779297,40268800
2025-07-28,AAPL,213.38067592321022,214.1981955143971,212.41361748607306,213.40061950683594,37858000
2025-07-29,AAPL,213.53020352524888,214.1582970701604,210.18041185237743,210.62904357910156,51411700
2025-07-30,AAPL,211.25711581327238,211.74563469104578,207.0898047125579,208.415771484375,45512500
2025-07-31,AAPL,207.85748415888986,209.20337937318874,206.5315173151756,206.94027709960938,80698400
2025-08-01,AAPL,210.23025491744008,212.93203997684435,200.88868661623732,201.76602172851562,104434500
2025-08-04,AAPL,203.8895472057539,207.24933356384108,201.06813110178,202.7330780029297,75109300
2025-08-05,AAPL,202.78290655256814,204.71702329589334,201.54667827641916,202.3043670654297,44155100
